word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
greel,gril,0.854784008725287,0.890537716090208,0.5621890547263682,vowelt,KEPT,0.8429015182217736
greem,grim,0.79331701934597,0.768761188772626,0.6287128712871287,vowelt,KEPT,0.8117672626101508
gride,gr2d,0.838634145180748,0.674136755566697,0.400990099009901,ove,DROVE,0.7319621685002651
gring,grIN,0.596241197932791,0.508733538313256,0.5148514851485149,ablaut,SANG,0.6056694981398082
grink,grINk,0.302387985901768,0.0805712735569002,0.47029702970297027,ablaut,SANG,0.3970030549758342
gurn,g3n,0.724886134105002,0.762228037711182,0.7079207920792079,novowelt,BURNT,0.7579557386296583
heen,hin,0.803793046234588,0.718082841374619,0.6485148514851485,vowelt,KEPT,0.8086771582759787
hurn,h3n,0.852431226176399,0.785868011961744,0.7128712871287128,novowelt,BURNT,0.8682594989325834
jeel,_il,0.571082851545752,0.726977932433335,0.5693069306930693,vowelt,KEPT,0.5791521140670487
jeem,_im,0.898053140399157,0.946276774771563,0.7227722772277227,vowelt,KEPT,0.8768326756484308
jide,_2d,0.846484944719025,0.789723355615459,0.5148514851485149,ove,DROVE,0.8502008789757962
jine,_2n,0.952120191082087,0.98339340591982,0.6584158415841584,ove,DROVE,0.9451063671304925
jing,_IN,0.554673379410925,0.606723407654501,0.5099009900990099,ablaut,SANG,0.6592223687834402
jink,_INk,0.637001655762356,0.649221443214292,0.6138613861386139,ablaut,SANG,0.5764708619340556
jite,_2t,0.844778415514649,0.858786528419055,0.5297029702970297,ove,DROVE,0.8491960259520731
jurn,_3n,0.77715543061316406,0.761216705520134,0.7178217821782178,novowelt,BURNT,0.8029481625139732
kleel,klil,0.911711580804421,0.842750610394347,0.5544554455445545,vowelt,KEPT,0.8299644308401318
kleem,klim,0.92777087389006,0.939661699221805,0.6534653465346535,vowelt,KEPT,0.898939254131668
kleep,klip,0.331746882502531,0.363498848337279,0.41089108910891087,vowelt,KEPT,0.38551622707793043
klide,kl2d,0.961265887172882,0.969210401116833,0.49504950495049505,ove,DROVE,0.9258883479481462
klill,klIl,0.967270991420102,0.97505645350684,0.693069306930693,novowelt,BURNT,0.972931300270089
klite,kl2t,0.958753210645139,0.978043482643156,0.5544554455445545,ove,DROVE,0.940358391282812
kreen,krin,0.897585229293846,0.787941312755431,0.6831683168316832,vowelt,KEPT,0.8853264913154513
kring,krIN,0.583724844542603,0.515869877974171,0.46534653465346537,ablaut,SANG,0.610382195887848
krite,kr2t,0.757074070416785,0.572898555090969,0.44554455445544555,ove,DROVE,0.7075624882340116
lell,lEl,0.930001899661579,0.969589452767102,0.6683168316831684,novowelt,BURNT,0.8929957086724868
meem,mim,0.741966664096292,0.816134192905321,0.698019801980198,vowelt,KEPT,0.746782453108943
ming,mIN,0.625320901129737,0.606723407654501,0.6386138613861386,ablaut,SANG,0.7205189217590388
murn,m3n,0.714809390195921,0.762116854269457,0.7227722772277227,novowelt,BURNT,0.7469947020497538
neem,nim,0.788476957215262,0.838364163691952,0.6584158415841584,vowelt,KEPT,0.7897413371544042
neen,nin,0.52984587063966,0.539113687619366,0.6633663366336634,vowelt,KEPT,0.550322050222037
ning,nIN,0.507871044672023,0.606723407654501,0.5841584158415841,ablaut,SANG,0.636107894161078
nink,nINk,0.786395638986392,0.649221443214292,0.6467661691542289,ablaut,SANG,0.7511158004998562
peem,pim,0.928912640039143,0.96380020397418,0.693069306930693,vowelt,KEPT,0.9271505800336731
pite,p2t,0.907979523211946,0.889193256211215,0.6287128712871287,ove,DROVE,0.9236444465551193
pive,p2v,0.781872992824813,0.832365399331348,0.47029702970297027,ove,DROVE,0.8212611939906171
pleel,plil,0.884278374130875,0.919105055746875,0.5742574257425742,vowelt,KEPT,0.8325381678236635
pleen,plin,0.920116829848453,0.791493015445591,0.6732673267326733,vowelt,KEPT,0.8179758161469644
pleep,plip,0.466946719160792,0.524950966513131,0.5445544554455446,vowelt,KEPT,0.5724455501978132
pline,pl2n,0.975993871480777,0.996701349303572,0.7128712871287128,ove,DROVE,0.9804222130025702
preel,pril,0.937557049120552,0.959015298965855,0.6188118811881188,vowelt,KEPT,0.9251011671467095
preem,prim,0.845085511356146,0.772217866073002,0.6782178217821783,vowelt,KEPT,0.8635555153037836
prill,prIl,0.988755162961781,0.992792884099564,0.7128712871287128,novowelt,BURNT,0.9619511139333479
pring,prIN,0.581231706667495,0.504781825375928,0.46534653465346537,ablaut,SANG,0.5753756123849142
prite,pr2t,0.778608807537132,0.753753851005404,0.4504950495049505,ove,DROVE,0.7572272129205858
prurn,pr3n,0.829902888139123,0.840398525577508,0.6881188118811881,novowelt,BURNT,0.8054558996033027
queel,kwil,0.887827804355118,0.904232692289742,0.5792079207920792,vowelt,KEPT,0.8980814404202399
