"Cob","CobLog","past.o","past","Lemma.Class","Lemma.Cob","Lemma.CobLog","present.o","present","ending.2","ending.3","regular","category","class","monosyl","moder"
2,0,"overexposed","5v@rIksp5zd","V",19,0,"overexpose","5v@rIksp5z","ed","","Y",NA,"regular",FALSE,NA
5,0,"overflowed","5v@fl5d","V",85,0.7,"overflow","5v@fl5","ed","","Y",NA,"regular",FALSE,NA
3,0,"overhauled","5v@h$ld","V",34,0.3,"overhaul","5v@h$l","ed","","Y",NA,"regular",FALSE,NA
3,0,"overlapped","5v@l{pt","V",125,0.85,"overlap","5v@l{p","ed","","Y",NA,"regular",FALSE,NA
10,0,"overloaded","5v@l5dId","V",69,0.6,"overload","5v@l5d","ed","","Y",NA,"regular",FALSE,NA
32,0.301,"overlooked","5v@lUkt","V",399,1.34,"overlook","5v@lUk","ed","","Y",NA,"regular",FALSE,NA
1,0,"overmanned","5v@m{nd","V",12,0,"overman","5v@m{n","ed","","Y",NA,"regular",FALSE,NA
1,0,"overplayed","5v@pl1d","V",11,0,"overplay","5v@pl1","ed","","Y",NA,"regular",FALSE,NA
2,0,"overpowered","5v@p6@d","V",27,0.3,"overpower","5v@p6@R","ed","","Y",NA,"regular",FALSE,NA
3,0,"overrated","5v@r1tId","V",23,0,"overrate","5v@r1t","ed","","Y",NA,"regular",FALSE,NA
3,0,"overruled","5v@ruld","V",26,0,"overrule","5v@rul","ed","","Y",NA,"regular",FALSE,NA
7,0,"overshadowed","5v@S{d5d","V",52,0.48,"overshadow","5v@S{d5","ed","","Y",NA,"regular",FALSE,NA
6,0,"oversimplified","5v@sImplIf2d","V",37,0.3,"oversimplify","5v@sImplIf2","ed","","Y",NA,"regular",FALSE,NA
2,0,"overstated","5v@st1tId","V",25,0,"overstate","5v@st1t","ed","","Y",NA,"regular",FALSE,NA
1,0,"overstepped","5v@stEpt","V",16,0,"overstep","5v@stEp","ed","","Y",NA,"regular",FALSE,NA
1,0,"overtaxed","5v@t{kst","V",10,0,"overtax","5v@t{ks","ed","","Y",NA,"regular",FALSE,NA
13,0,"overturned","5v@t3nd","V",93,0.7,"overturn","5v@t3n","ed","","Y",NA,"regular",FALSE,NA
24,0,"overwhelmed","5v@wElmd","V",164,0.95,"overwhelm","5v@wElm","ed","","Y",NA,"regular",FALSE,NA
